Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,WAS,29,1,32.52,18,28,0.643,9,14,0.643,6,6,1,2,8,10,7,0,0,1,1,51,45.9,31,0.832,0.804,6.3,21.2,14.5,74.6,0,0,3.2,41.2,165,92,38.9
0,SAC,53,1,31.03,14,23,0.609,7,14,0.5,1,2,0.5,2,2,4,6,0,1,2,2,36,29.2,36,0.754,0.761,6.6,4.8,5.5,31.6,0,2.5,7.7,34.2,149,87,22.5
1,ATL,-16,1,35.45,5,17,0.294,2,8,0.25,8,8,1,1,5,6,4,1,2,5,3,20,11.3,-10,0.487,0.353,2.7,14.9,8.5,23.1,1.4,4.6,19.6,30.1,94,111,2.2
1,NOP,10,1,37.27,17,26,0.654,4,13,0.308,0,0,,0,8,8,7,3,0,2,3,38,33.7,21,0.731,0.731,0,22.3,12.4,42.3,4.1,0,7.1,35.9,134,98,18.4
0,MIA,30,1,31.16,7,15,0.467,3,7,0.429,3,5,0.6,1,11,12,5,0,0,2,1,20,16.6,30,0.581,0.567,4.1,37.5,22.5,23.1,0,0,10.4,27.8,120,96,4.6
0,CHO,6,1,32.45,6,16,0.375,1,7,0.143,6,6,1,0,6,6,9,2,0,3,4,19,15.7,9,0.51,0.406,0,17.6,10,39.7,2.9,0,13.9,29.5,108,105,2.8
1,DET,9,1,28.08,9,21,0.429,4,9,0.444,2,3,0.667,1,8,9,1,1,0,2,0,24,15.3,14,0.538,0.524,3.6,21.3,13.8,7.9,1.8,0,8.2,39.1,99,91,5.5
1,ORL,33,1,35.24,6,18,0.333,2,8,0.25,1,2,0.5,4,5,9,7,1,0,4,1,15,10.2,32,0.397,0.389,11.3,14.4,12.8,25.7,1.4,0,17.5,26,93,89,-1.3
1,BRK,35,1,27.04,7,11,0.636,2,6,0.333,3,4,0.75,0,5,5,4,1,0,0,0,19,19,32,0.745,0.727,0,15.8,9.6,18.9,1.8,0,0,20.4,163,93,11.5
0,DEN,6,1,36.53,8,19,0.421,1,8,0.125,7,8,0.875,2,4,6,5,3,0,2,1,24,20.2,10,0.533,0.447,4.5,10.8,7.4,23.6,3.8,0,8.2,26.3,116,100,7.6
0,ATL,10,1,40.06,13,27,0.481,4,10,0.4,8,9,0.889,2,8,10,3,1,2,2,3,38,29,11,0.614,0.556,4.9,18.1,11.7,17.6,1.2,4.4,6.1,36.2,123,95,14.3
1,PHI,48,1,29.36,9,17,0.529,4,8,0.5,6,6,1,2,10,12,6,0,2,0,3,28,28.5,34,0.713,0.647,9.3,29,21.4,31,0,6.8,0,31.6,163,87,17.7
0,DET,-1,1,39.07,7,15,0.467,2,6,0.333,6,6,1,0,4,4,5,1,0,7,0,22,13,-1,0.624,0.533,0,10.7,6.4,18.4,1.3,0,28.4,30.3,94,121,-6.9
1,BRK,23,1,34.49,10,20,0.5,4,9,0.444,6,7,0.857,1,6,7,4,1,0,4,1,30,21.5,22,0.65,0.6,3.6,17.2,11.2,17.1,1.3,0,14.8,34,118,105,3.2
1,DET,9,1,38.53,8,21,0.381,4,9,0.444,6,8,0.75,0,11,11,6,1,1,1,3,26,20.7,6,0.53,0.476,0,36.7,17.4,23.1,1.3,2.1,3.9,29.4,115,104,6.1
1,IND,-21,1,34.17,7,22,0.318,2,12,0.167,8,8,1,2,3,5,3,1,0,2,4,24,13.2,-24,0.47,0.364,5.5,11.1,7.9,14.4,1.4,0,7.3,35.1,101,133,-5.1
0,ATL,9,1,39.01,12,25,0.48,3,10,0.3,6,7,0.857,1,7,8,7,0,0,2,2,33,24.8,4,0.588,0.54,2.9,21,11.7,35.5,0,0,6.6,35.8,123,109,8.5
0,MEM,13,1,38.55,14,25,0.56,2,7,0.286,7,8,0.875,1,5,6,5,0,1,6,2,37,24.3,17,0.649,0.6,2.9,11.6,7.8,21.5,0,2.1,17.4,38.8,116,120,2.6
0,BRK,6,1,41.17,16,30,0.533,8,15,0.533,14,17,0.824,2,3,5,3,0,0,2,4,54,39,12,0.72,0.667,5.4,8.9,7.1,16.3,0,0,5.1,41.8,142,130,12.7
1,CHO,14,1,37.32,16,24,0.667,6,9,0.667,6,6,1,0,5,5,3,3,1,2,3,44,37.7,18,0.826,0.792,0,13.9,6.9,15,4.1,2.5,7,33.2,155,103,23.6
0,DET,11,1,37.42,13,27,0.481,2,9,0.222,3,3,1,2,6,8,6,1,0,1,3,31,23.5,14,0.547,0.519,5.8,17,11.4,30,1.3,0,3.4,33.3,122,111,8.2
0,DAL,-3,1,41.13,7,23,0.304,3,10,0.3,4,5,0.8,4,7,11,4,0,0,2,0,21,13,3,0.417,0.37,9.5,21.5,14.7,18.7,0,0,7.4,29.5,94,107,2.8
1,GSW,22,1,36.49,6,16,0.375,3,8,0.375,11,12,0.917,0,12,12,4,1,0,4,4,26,18.6,17,0.611,0.469,0,30.1,17.2,17.3,1.4,0,15.8,32.7,113,93,4.4
1,SAC,29,1,34.09,12,16,0.75,7,10,0.7,1,1,1,0,5,5,4,0,0,2,1,32,27.5,40,0.973,0.969,0,15.6,8.8,19.3,0,0,10.8,25.3,159,108,15.6
1,DEN,20,1,32.45,11,17,0.647,6,10,0.6,2,2,1,0,6,6,7,1,0,5,3,30,24,22,0.839,0.824,0,19.1,11.1,33.2,1.6,0,21.9,35.4,131,113,12.2
1,OKC,9,1,38.50,11,19,0.579,5,11,0.455,9,9,1,0,7,7,6,2,1,3,1,36,32.7,12,0.784,0.711,0,18.8,10.3,24.4,2.5,2.2,11.6,29.4,145,121,12.9
0,UTA,28,1,28.41,9,15,0.6,5,8,0.625,3,3,1,0,3,3,3,0,1,2,2,26,20,16,0.797,0.767,0,10.7,6.4,14.4,0,3.2,10.9,30.9,139,113,8.8
0,MIN,22,1,33.43,12,21,0.571,5,11,0.455,5,5,1,0,5,5,6,1,1,3,1,34,28.1,34,0.733,0.69,0,18.3,9.5,26.8,1.5,2.7,11.5,34.1,140,114,13.2
0,IND,5,1,37.13,10,24,0.417,3,9,0.333,8,10,0.8,2,4,6,6,1,1,1,0,31,24.9,-1,0.586,0.529,2.6,12.1,7.1,30.2,2.4,0,16.9,25.6,105,105,4.2
0,WAS,42,1,29.09,9,17,0.529,1,5,0.2,3,6,0.5,2,4,6,7,2,1,2,3,22,19.5,22,0.546,0.479,7.8,13.9,11.1,24.1,1.3,2.9,3.4,34.4,130,127,3.6
1,CHI,23,1,30.09,5,18,0.278,1,8,0.125,5,7,0.714,0,10,10,8,2,1,2,1,16,13.5,22,0.56,0.559,10.3,16.9,13.9,28,3.5,2.7,9.2,34.4,125,103,2.4
1,MEM,29,1,26.03,11,14,0.786,6,8,0.75,3,3,1,0,9,9,3,1,0,5,2,31,25.6,29,0.38,0.306,0,38.8,19.4,36.3,3.2,2.8,8.7,33.8,93,89,1.3
0,PHI,9,1,38.38,13,20,0.65,2,7,0.286,7,9,0.778,0,12,12,4,1,1,3,1,35,30.1,10,0.73,0.7,0,43.9,22.3,16.7,1.3,2.7,11.1,32.1,133,116,9.4
1,MIA,7,1,36.47,10,22,0.455,2,7,0.286,7,7,1,2,3,5,4,1,2,2,1,29,22.7,-1,0.578,0.5,7.1,9.3,8.3,18.7,1.4,4,7.4,33.8,129,114,6.7
1,ORL,6,1,37.39,14,21,0.667,4,10,0.4,8,9,0.889,0,8,8,1,1,2,1,2,40,34.2,6,0.801,0.762,0,24.3,12,5.3,1.3,4.2,3.9,30.8,151,118,13.7
1,CHI,-18,1,35.26,8,18,0.444,4,8,0.5,6,6,1,0,8,8,5,0,0,1,2,26,20.7,-8,0.63,0.556,0,24.1,10.3,25.9,0,0,4.6,25.4,130,123,8.3
0,CLE,-9,1,42.11,11,19,0.579,3,7,0.429,7,8,0.875,1,6,7,4,1,1,4,4,32,24.1,-10,0.71,0.658,3.3,19.8,11.6,17.8,1.2,2.4,15.1,29,122,124,5.4
0,WAS,18,1,27.25,8,15,0.533,5,10,0.5,2,2,1,0,4,4,3,1,0,4,0,23,16,10,0.724,0.7,0,12.1,7.1,23.9,1.8,0,20.1,34.5,105,99,7
1,CLE,-1,1,42.52,8,21,0.381,2,9,0.222,8,8,1,3,9,12,6,1,4,6,0,26,21.3,-16,0.53,0.429,7.4,21,14.4,26.4,1.1,8.1,19.7,31.7,97,99,6.8
0,CHI,4,1,40.03,8,23,0.348,3,10,0.3,17,20,0.85,2,10,12,6,1,1,1,4,36,29.6,11,0.566,0.413,6,33.3,18.9,22.9,1.1,2.2,3,34.7,126,113,7.7
1,NYK,15,1,36.31,8,17,0.471,6,13,0.462,4,4,1,0,4,4,5,1,2,3,3,26,20.2,12,0.693,0.647,0,13.8,6.7,18,1.4,4.2,13.8,27.2,127,121,5.1
1,MEM,3,1,39.35,12,25,0.48,3,11,0.273,12,16,0.75,0,3,3,2,0,2,2,2,39,25.6,15,0.609,0.54,0,7.9,4,10.3,0,5.2,5.9,37.8,116,110,6.8
0,DET,16,1,31.35,10,20,0.5,5,11,0.455,6,7,0.857,0,1,1,5,1,1,1,4,31,23.5,16,0.672,0.625,0,3,1.7,23.9,1.5,2.7,4.2,33.5,136,116,9.7
0,DEN,19,1,37.19,11,21,0.524,2,7,0.286,10,11,0.909,0,8,8,5,0,0,1,4,34,26.6,18,0.658,0.571,0,21.9,12.3,17.9,0,0,3.7,32.6,141,122,4.7
1,DET,9,1,40.59,14,28,0.5,7,14,0.5,8,10,0.8,2,8,10,3,1,1,3,2,43,32,7,0.664,0.625,4.9,21.3,12.7,15.5,1.2,2.3,8.5,38.2,122,109,10.2
0,OKC,4,1,38.00,9,23,0.391,1,9,0.111,8,10,0.8,1,9,10,1,3,3,1,2,27,21.1,2,0.493,0.413,2.5,24.7,13,3.6,3.4,5.6,3.5,29.2,103,103,1.6
1,ATL,25,1,32.54,6,19,0.316,3,10,0.3,4,4,1,1,6,7,8,1,1,2,1,19,15.5,28,0.458,0.395,3.9,15.4,10.9,29.7,1.5,2.1,8.8,31.2,108,100,0.8
1,NOP,8,1,39.28,6,18,0.333,2,10,0.2,5,6,0.833,0,7,7,10,0,0,3,1,19,14.1,11,0.46,0.389,0,20.3,10.3,36.1,0,0,12.7,26.3,110,117,-1.8
1,CHI,-14,1,35.46,9,19,0.474,4,10,0.4,6,7,0.857,2,9,11,7,0,0,4,1,28,22.5,-13,0.634,0.579,5.6,29.5,16.6,36.2,0,0,15.3,32,116,121,7.8
0,DAL,13,1,36.49,11,24,0.458,2,7,0.286,13,15,0.867,3,10,13,5,0,2,2,1,37,31.4,14,0.605,0.5,10.9,35.2,23.2,21.3,0,5.1,6.1,40.8,128,112,7.5
0,SAC,18,1,31.09,10,17,0.588,2,6,0.333,8,9,0.889,1,7,8,4,1,0,3,4,30,23.7,12,0.716,0.647,4.1,24,14.9,24.1,1.5,0,12.5,35.2,129,103,7.1
0,CHO,35,1,29.50,15,28,0.536,4,14,0.286,1,1,1,0,3,3,3,2,1,0,3,35,25.9,45,0.615,0.607,0,11.2,6.4,15.6,3.3,2.8,0,41.9,129,105,3
0,MIA,13,1,39.13,15,25,0.6,8,12,0.667,11,12,0.917,1,10,11,3,2,0,1,3,49,42.7,29,0.809,0.76,3.6,31.4,18.4,13.3,2.5,0,3.2,34.8,166,119,16.3
0,MIA,-4,1,41.02,5,18,0.278,0,7,0,4,6,0.667,3,9,12,3,0,0,5,4,14,2.9,0,0.339,0.278,8.6,21.9,15.8,11.6,0,0,19.5,27.8,70,109,-13.3
1,BRK,11,1,36.38,10,19,0.526,3,6,0.5,6,6,1,2,9,11,1,4,0,9,3,29,18.3,12,0.67,0.605,6.2,23.1,15.5,6,5.5,0,29.4,38.3,94,89,2.5
1,TOR,6,1,38.44,11,24,0.458,5,10,0.5,4,5,0.8,3,9,12,3,1,1,4,2,31,22,9,0.592,0.563,7.9,23.2,15.7,12.2,1.3,2.2,13.2,33.9,111,110,5.2
1,PHO,27,1,29.06,9,19,0.474,3,8,0.375,4,6,0.667,0,5,5,2,2,0,3,2,25,15.6,26,0.578,0.553,0,15,8.1,9.7,3.1,0,12.2,34.2,104,93,2.2
1,GSW,-16,1,39.45,6,21,0.286,2,9,0.222,4,7,0.571,1,6,7,2,3,1,2,2,18,9.3,-13,0.374,0.333,2.5,16.5,9.2,7.9,3.6,2.3,7.7,29,76,117,-6.1
1,LAC,-20,1,36.34,7,20,0.35,2,8,0.25,4,4,1,2,9,11,4,1,0,3,3,20,12.5,-18,0.46,0.4,6.6,28.1,17.6,22.1,1.4,0,12.1,31.7,89,116,-3.3
1,LAL,4,1,43.55,15,29,0.517,5,10,0.5,9,10,0.9,1,8,9,6,0,1,4,1,44,32.9,12,0.659,0.603,2.2,21.5,10.9,26,0,1.9,10.7,36.1,126,110,13.9
0,ORL,-8,1,38.03,9,20,0.45,2,8,0.25,11,12,0.917,3,4,7,3,2,0,2,1,31,25.2,-10,0.613,0.5,7.9,11.7,9.7,16,2.5,0,7.3,30.5,127,117,7
0,IND,-5,1,41.03,13,25,0.52,4,11,0.364,11,13,0.846,1,4,5,4,2,1,2,0,41,33.3,4,0.667,0.6,1.9,9.5,5.4,19.7,2.3,2,6.1,29.9,143,117,14.5
0,MIN,12,1,35.00,10,22,0.455,1,6,0.167,9,11,0.818,2,6,8,5,1,0,3,3,30,21.3,11,0.559,0.477,5.1,18.7,11.2,22.6,1.4,0,10.1,33.4,119,111,3.5
0,MIL,21,1,35.58,14,22,0.636,3,7,0.429,10,10,1,0,7,7,5,3,0,1,3,41,37.6,18,0.777,0.705,0,24.6,12.6,21.3,4,0,3.6,34.2,155,111,15.5
0,HOU,24,1,34.06,12,25,0.48,6,16,0.375,8,8,1,0,8,8,4,1,1,2,2,38,29.4,12,0.666,0.6,0,21.2,11.5,21.6,1.4,2.8,6.6,38.7,126,101,11.3
0,LAC,6,1,35.45,10,26,0.385,3,11,0.273,6,10,0.6,1,10,11,1,0,1,2,2,29,15.5,-5,0.477,0.442,3.1,29.2,16.4,4.4,0,2.7,6.2,39,98,111,-2.1
1,DEN,-12,1,35.31,7,16,0.438,0,4,0,11,14,0.786,0,7,7,6,2,0,5,1,25,18.3,-15,0.564,0.438,0,29.6,12.4,26.6,2.7,0,18.4,32.8,103,123,0.8
1,OKC,-33,1,30.21,9,17,0.529,2,7,0.286,7,7,1,1,5,6,2,0,0,4,2,27,17.5,-25,0.672,0.588,3.4,22,11.6,12.3,0,0,16.6,32.1,114,142,-2.6
1,DAL,29,1,35.26,8,22,0.364,2,8,0.25,11,12,0.917,2,12,14,10,1,2,2,2,29,28,15,0.532,0.409,6.6,30.7,20.2,44.9,1.4,4.7,6.8,36.5,126,91,11.4
1,SAS,5,1,36.02,13,26,0.5,5,10,0.5,3,5,0.6,0,4,4,2,0,0,2,3,34,19.6,2,0.603,0.596,0,11.3,5.7,9,0,0,6.6,34.4,109,115,0.3
0,CHI,8,1,37.49,10,21,0.476,4,11,0.364,8,8,1,0,8,8,7,1,0,1,2,32,27.8,14,0.653,0.571,0,21.6,11,35.1,1.4,0,3.9,30.8,135,106,15
0,NOP,11,1,35.55,10,22,0.455,3,8,0.375,8,10,0.8,2,8,10,4,1,0,0,2,31,25.6,12,0.587,0.523,6.7,24.9,16.1,17.4,1.4,0,0,31.8,136,118,6.4
1,BRK,11,1,38.22,7,22,0.318,2,10,0.2,4,4,1,0,11,11,5,0,1,3,3,20,10.7,2,0.421,0.364,0,34.4,17.4,19.4,0,2.5,11.2,31.4,93,105,-4.6
1,CHO,16,1,36.54,12,27,0.444,4,14,0.286,5,5,1,3,6,9,6,0,1,1,0,33,26.7,26,0.565,0.519,7.8,18.6,12.7,24.9,0,2.1,3.3,35.6,127,115,7.7
1,CHO,12,1,40.10,15,23,0.652,7,12,0.583,14,14,1,1,8,9,5,0,0,4,3,51,42.3,15,0.874,0.804,3.1,20.8,12.7,23.8,0,0,12.1,36.4,159,128,17.9
0,GSW,3,1,48.07,9,27,0.333,4,13,0.308,12,12,1,2,17,19,6,3,0,7,2,34,24.6,7,0.527,0.407,3.9,35.3,19,20,2.9,0,17.8,31.3,103,97,6.4
1,ORL,-15,1,37.38,9,19,0.474,4,10,0.4,4,6,0.667,0,6,6,7,1,0,3,2,26,19.4,6,0.601,0.579,0,20.7,9.9,36.4,1.3,0,12.2,29.7,116,120,7.1
1,MIA,-3,1,39.39,9,18,0.5,2,5,0.4,11,14,0.786,0,14,14,7,0,0,7,4,31,21.3,-3,0.642,0.556,0,32,17.8,40.2,0,0,22.5,36.7,105,99,4.3
0,NYK,-3,1,43.07,12,26,0.462,2,7,0.286,9,9,1,2,12,14,4,1,1,3,3,35,26.9,6,0.584,0.5,4.5,30.1,16.5,18.7,1.2,2.1,9.1,32.9,119,111,8.7
0,LAL,4,1,47.20,8,25,0.32,3,10,0.3,11,12,0.917,2,9,11,4,2,1,6,3,30,17.7,3,0.495,0.38,5.2,20.2,13.2,14.9,2.1,1.8,16.5,35.9,94,111,-3.9
0,BRK,43,1,29.19,12,19,0.632,7,12,0.583,0,0,,1,8,9,4,2,1,1,1,31,29.7,46,0.816,0.816,4.3,25.7,16.6,19.6,3.5,3.3,5,30.8,163,93,23
0,PHO,-12,1,37.53,3,15,0.2,3,10,0.3,11,12,0.917,0,6,6,5,0,0,2,3,20,12.4,1,0.493,0.3,0,15.2,7.9,25.1,0,0,9,27.5,99,112,0.7
1,DET,12,1,39.21,11,24,0.458,3,9,0.333,9,10,0.9,2,9,11,6,0,1,3,4,34,25.6,16,0.599,0.521,5.7,22,14.4,28.6,0,2.3,9.6,37.1,123,105,6.9
0,PHI,7,1,37.24,5,15,0.333,1,5,0.2,1,3,0.333,1,7,8,9,1,1,4,2,12,8.7,5,0.368,0.367,3.8,19.1,12.7,34.4,1.5,2.5,19.7,27.9,90,109,-3.6
0,CHO,11,1,36.55,13,21,0.619,5,10,0.5,10,12,0.833,0,4,4,4,1,2,4,2,41,32.3,2,0.78,0.738,0,10.6,5.8,19.2,1.2,3.7,13.2,35.3,131,111,9.6
0,MEM,10,1,37.59,3,16,0.188,1,8,0.125,9,12,0.75,0,7,7,3,2,2,3,0,16,9.4,7,0.376,0.219,0,20.6,9.9,10.8,2.7,5.1,12.4,28,85,108,-6.7
0,DET,18,1,34.02,15,24,0.625,6,10,0.6,2,2,1,0,9,9,7,0,0,4,3,38,29.6,1,0.764,0.75,0,31,16.3,35.5,0,0,13.9,37.9,134,116,11.2
1,IND,4,1,41.42,9,25,0.36,3,12,0.25,10,11,0.909,3,9,12,7,2,1,4,1,31,24.7,-8,0.519,0.42,8.1,27.9,17.3,22.5,2.4,2.8,11.8,34.3,122,128,0.9
1,PHI,3,1,36.26,7,17,0.412,3,8,0.375,1,2,0.5,3,10,13,6,0,1,5,1,18,13.1,-6,0.503,0.5,9.2,30.6,19.9,23.4,0,2.6,21.9,29.2,98,114,0.8
1,NYK,-15,1,36.41,6,18,0.333,1,9,0.111,1,1,1,2,5,7,9,1,0,4,1,14,9.6,-18,0.38,0.361,5.9,18.7,11.6,40.4,1.4,0,17.8,29,84,119,-1.1
0,CLE,4,1,35.57,13,21,0.619,4,6,0.667,11,14,0.786,2,9,11,8,0,0,3,1,41,36.6,4,0.755,0.714,7.6,26.1,18.1,49.4,0,0,9.9,39.4,146,121,18.5
0,BRK,-10,1,38.20,10,23,0.435,0,7,0,2,2,1,1,12,13,5,1,2,4,2,22,15.3,-19,0.461,0.435,2.9,28.9,17.1,22,1.2,4.9,14.3,31.2,89,107,-2.1
0,NYK,-2,1,48.57,12,30,0.4,6,17,0.353,10,12,0.833,2,9,11,6,0,0,2,2,40,28.5,4,0.567,0.5,3.9,22.2,12.1,24.7,0,0,5.4,32.5,124,117,8.1
0,POR,22,1,30.44,11,17,0.647,6,10,0.6,2,4,0.5,1,6,7,2,1,0,3,0,30,23.6,21,0.8,0.824,3.4,20.4,11.9,12.6,1.6,0,13.8,31.8,125,94,14.6
1,ATL,9,1,35.27,12,25,0.48,5,14,0.357,5,6,0.833,0,15,15,6,0,1,1,5,34,27.3,13,0.615,0.58,0,42.3,23.1,22.7,0,2.1,3.5,35.8,124,117,5
1,HOU,-2,1,41.04,8,22,0.364,2,10,0.2,4,4,1,0,8,8,6,1,0,4,1,22,13,-2,0.463,0.409,0,21.7,10.9,23.7,1.2,0,14.4,29.7,93,117,-3
1,MIN,2,1,36.55,4,16,0.25,0,8,0,14,16,0.875,1,11,12,2,2,1,2,5,22,15.7,-3,0.477,0.25,2.8,32.5,17.3,9,2.7,2.7,8,30.7,100,99,-0.3
1,POR,14,1,36.29,8,20,0.4,2,11,0.182,16,18,0.889,1,11,12,4,3,0,5,2,34,26.4,11,0.609,0.45,2.8,34.5,17.7,17.3,4,0,15.2,36.6,121,106,4.3
1,UTA,-1,1,38.42,4,12,0.333,3,8,0.375,4,6,0.667,0,3,3,6,0,1,2,3,15,10,-13,0.512,0.458,0,7.2,3.9,20.1,0,2.2,12,20.4,105,129,-4.5
1,SAC,23,1,35.16,14,25,0.56,2,7,0.286,6,11,0.545,1,7,8,4,2,0,1,0,36,28.7,21,0.603,0.6,3.2,22.7,12.8,18.2,2.9,0,3.2,39.2,125,114,6.6
0,IND,25,1,32.26,13,24,0.542,3,9,0.333,5,6,0.833,0,7,7,2,2,0,6,3,34,20.3,23,0.638,0.604,0,22.5,11.1,12,2.8,0,18.4,41.9,100,91,2.9
1,WAS,-19,1,31.52,11,19,0.579,2,7,0.286,4,4,1,0,9,9,5,0,1,3,4,28,21.4,-10,0.674,0.632,0,36.6,16.7,26.5,0,2.4,12.6,32.6,119,126,4.7
1,MIL,41,1,30.43,12,18,0.667,8,10,0.8,8,8,1,1,7,8,1,0,0,0,1,40,35.3,36,0.929,0.889,4.2,19.9,13.6,4.8,0,0,0,31.2,185,102,22.8
0,UTA,8,1,35.47,12,17,0.706,5,8,0.625,10,11,0.909,1,10,11,3,3,0,0,4,39,38.7,7,0.893,0.853,2.7,29.8,15.7,15.5,3.9,0,0,25.1,182,101,22.1
1,PHI,-2,1,37.48,7,20,0.35,2,8,0.25,3,5,0.6,1,5,6,6,3,0,2,2,19,13.6,-13,0.428,0.4,2.9,17.6,9.5,26.2,4.3,0,8.3,29,98,111,2.7
0,TOR,19,1,19.56,7,12,0.583,0,5,0,7,9,0.778,1,2,3,4,0,0,3,2,21,14.9,23,0.658,0.583,6.7,9.3,8.2,34.2,0,0,15.8,41.8,125,114,1.1
1,NYK,4,1,38.39,13,22,0.591,3,8,0.375,5,6,0.833,0,11,11,4,2,1,4,3,34,27,0,0.69,0.659,0,24.4,14.7,23.8,2.6,2.2,14,35.1,122,102,10.7
0,MIA,8,1,41.26,9,22,0.409,3,10,0.3,1,3,0.333,0,8,8,5,1,0,2,4,22,12.7,13,0.472,0.477,0,18.5,9.3,16.8,1.2,0,7.9,24.8,105,113,-1.3
1,WAS,19,1,27.36,14,21,0.667,4,9,0.444,1,1,1,0,6,6,3,0,0,2,2,33,25,27,0.77,0.762,0,22.2,11.5,19.6,0,0,8.5,33.4,142,110,12.8
0,IND,51,1,26.34,9,15,0.6,3,5,0.6,9,10,0.9,2,10,12,4,0,0,2,1,30,27.5,36,0.773,0.7,10.6,33.5,24.6,19.2,0,0,9.3,32.7,158,99,14.4
1,BRK,10,1,40.52,10,20,0.5,6,10,0.6,6,6,1,1,10,11,1,0,0,3,1,32,23,18,0.707,0.65,2.8,23.5,14,3.8,0,0,11.7,26.7,128,117,4.5
1,MIN,-4,1,42.58,12,22,0.545,2,8,0.25,6,8,0.75,0,5,5,2,5,0,6,2,32,21.7,3,0.627,0.591,0,15.4,6.9,11.6,5.6,0,19,31.6,101,98,8
1,PHI,-3,1,37.05,6,14,0.429,2,6,0.333,2,3,0.667,1,14,15,6,3,0,2,2,16,17.5,-1,0.522,0.5,2.4,39.4,19.6,27.5,3.9,0,11.5,20.1,104,96,6.7
0,BRK,14,1,33.18,6,17,0.353,4,11,0.364,7,9,0.778,1,9,10,3,0,0,2,1,23,15.8,28,0.549,0.471,2.7,29.5,14.7,13.4,0,0,8.7,29.2,115,115,0.6
